team,sketch_title,writer,link,upload_date
27 Kidneys,Bodegas!,no writer,https://www.youtube.com/watch?v=K-ngUjW4wvA,20080720
27 Kidneys,Boring Husband,no writer,https://www.youtube.com/watch?v=I3qnuQs7yzc,20090303
27 Kidneys,Don't Call me Here,no writer,https://www.youtube.com/watch?v=hxseYWEmU4E,20081009
27 Kidneys,He Had A Family,no writer,https://www.youtube.com/watch?v=kmlE-K9GAf4,20090303
27 Kidneys,I Know You From Somewhere,no writer,https://www.youtube.com/watch?v=gWf1EidNJQs,20081009
27 Kidneys,I Used to Live Here,no writer,https://www.youtube.com/watch?v=XtnmS6cFHvE,20081009
27 Kidneys,Meet The Press,no writer,https://www.youtube.com/watch?v=ofZW6rasw5A,20080721
27 Kidneys,Memorial Birthday,Chris Kelly.  Perfor,https://www.youtube.com/watch?v=Wg9AfYcjJYo,20080720
27 Kidneys,Memory,no writer,https://www.youtube.com/watch?v=h_GYJjGYh4M,20081112
27 Kidneys,Passive Aggressive,no writer,https://www.youtube.com/watch?v=npt9ahitbWA,20080721
27 Kidneys,Pauly Tells a Story,no writer,https://www.youtube.com/watch?v=ZSGilQXwJ4Y,20090303
27 Kidneys,Second Life Linda,no writer,https://www.youtube.com/watch?v=3oVCsPWCGLQ,20080720
27 Kidneys,Sleeptalker,no writer,https://www.youtube.com/watch?v=u-qG0-e4VuA,20080720
27 Kidneys,Sobbin' Women,no writer,https://www.youtube.com/watch?v=tmpekJT391A,20090303
27 Kidneys,Trivial Terminator,no writer,https://www.youtube.com/watch?v=mtsL1iP_Mks,20090303
27 Kidneys,Upfronts,no writer,https://www.youtube.com/watch?v=Gi-wQP2DDto,20090303
27 Kidneys,You Can't Go In There,no writer,https://www.youtube.com/watch?v=MoUr38SpsF4,20080720
A_Few_Sandwich_Lovers,Band Revenge,Sean Casey,https://www.youtube.com/watch?v=n0Asraenqj4,20170615
A_Few_Sandwich_Lovers,Bigfoot Catfish,Cristina Sanza,https://www.youtube.com/watch?v=uhvIfsKSdCY,20170624
A_Few_Sandwich_Lovers,Deadbeat God,no writer,https://www.youtube.com/watch?v=u-MfSaFvQ_8,20170407
A_Few_Sandwich_Lovers,Deal With The Devil #1,Luke Burns,https://www.youtube.com/watch?v=ORFMLWtpD-0,20170605
A_Few_Sandwich_Lovers,Deal With The Devil #2,Luke Burns,https://www.youtube.com/watch?v=qzSx_Tpgn9U,20170605
A_Few_Sandwich_Lovers,Deal With the Devil #3,Luke Burns,https://www.youtube.com/watch?v=8pI5PMDem4U,20170605
A_Few_Sandwich_Lovers,Dinner Breakup,Cristina Sanza,https://www.youtube.com/watch?v=L3b9tqXURz8,20170624
A_Few_Sandwich_Lovers,Exit Row,Sean Casey,https://www.youtube.com/watch?v=hoLWarMn2Ws,20170228
A_Few_Sandwich_Lovers,Father Daughter Dance,Katie Talay,https://www.youtube.com/watch?v=Q-Eam7oQBVs,20170605
A_Few_Sandwich_Lovers,God's Friend Jerry,Luke Burns,https://www.youtube.com/watch?v=2Ha5n_ZkHZI,20170228
A_Few_Sandwich_Lovers,Good Boy or Naughty Boy?,Luke Burns,https://www.youtube.com/watch?v=DTxWUZtWKfM,20170208
A_Few_Sandwich_Lovers,"Good Burger, Bad News",Katie Talay,https://www.youtube.com/watch?v=eSVsZ_3nS8w,20170216
A_Few_Sandwich_Lovers,Grandma's Ring,Sean Casey,https://www.youtube.com/watch?v=EDrOsQEScOc,20170228
A_Few_Sandwich_Lovers,Incognito Browser,Luke Burns,https://www.youtube.com/watch?v=CxBZm9IOdZQ,20170624
A_Few_Sandwich_Lovers,John Cena,Sean Casey,https://www.youtube.com/watch?v=fNYstg4wBA0,20170207
A_Few_Sandwich_Lovers,Lonely Pizza Boy,Stacey Kulow,https://www.youtube.com/watch?v=nUwAObSCPZI,20170624
A_Few_Sandwich_Lovers,Lounge Singer,Katie Talay,https://www.youtube.com/watch?v=wYvHm6p1c9M,20170605
A_Few_Sandwich_Lovers,Low Notes,Stacey Kulow,https://www.youtube.com/watch?v=owkg8CxcqEk,20170530
A_Few_Sandwich_Lovers,Manhole Flirting,Cristina Sanza,https://www.youtube.com/watch?v=USZm5KUpqmY,20170228
A_Few_Sandwich_Lovers,Panda Love,Stacey Kulow,https://www.youtube.com/watch?v=MtBgBzVU4vs,20170405
A_Few_Sandwich_Lovers,Parade Pitch,Stacey Kulow,https://www.youtube.com/watch?v=o79XzcrW1tE,20170228
A_Few_Sandwich_Lovers,Plant Boyfriend,Stacey Kulow,https://www.youtube.com/watch?v=ONSKeNyTnlk,20170207
A_Few_Sandwich_Lovers,Puppy,Sean Casey,https://www.youtube.com/watch?v=Ytt45Lh4cvM,20170615
A_Few_Sandwich_Lovers,Self Defense,no writer,https://www.youtube.com/watch?v=6o4VMC7VQEM,20170227
A_Few_Sandwich_Lovers,Silly Trombone Music,Luke Burns,https://www.youtube.com/watch?v=06najHyoWr0,20170605
A_Few_Sandwich_Lovers,Ski Bunnies,Cristina Sanza,https://www.youtube.com/watch?v=mEnTkYCYiFU,20170228
A_Few_Sandwich_Lovers,The Leprechaun,Luke Burns,https://www.youtube.com/watch?v=ZtFOowzsBTI,20170605
A_Few_Sandwich_Lovers,Two P's in a Podcast,Katie Talay,https://www.youtube.com/watch?v=FICllO79A3I,20170624
A_Few_Sandwich_Lovers,Uber Self Driving Car,Sean Casey,https://www.youtube.com/watch?v=MmsJjF4ncrs,20170624
Alamo,Alamo   Stripper Dad,,https://www.youtube.com/watch?v=iQlfRPOwgPY,20140825
Alamo,Alamo - Adele Dazeem,Jason Shebiro,https://www.youtube.com/watch?v=DngH6nN0wWg,20140326
Alamo,Alamo - Broken Desk,Marina Tempelsman,https://www.youtube.com/watch?v=Uzvk6E_2VCA,20140202
Alamo,Alamo - Bucket List,Katherine Maughan,https://www.youtube.com/watch?v=Pez3nPQ61co,20140328
Alamo,Alamo - Bully,Marina Tempels,https://www.youtube.com/watch?v=nqfbhNKaaxU,20140825
Alamo,Alamo - Coming Out Poor,David Bernstein,https://www.youtube.com/watch?v=i4Nj06erooA,20131204
Alamo,Alamo - Edgar Allan Poe,David Bernstein,https://www.youtube.com/watch?v=trFHDXXOmGQ,20140131
Alamo,Alamo - Gary Oldman,no writer,https://www.youtube.com/watch?v=e9hgRsuMasM,20140825
Alamo,Alamo - Halloween Costume,Mary Lordes,https://www.youtube.com/watch?v=tmgSPhuPl2k,20131204
Alamo,Alamo - Maleficent,no writer,https://www.youtube.com/watch?v=Tpn0rRPdgF0,20140609
Alamo,Alamo - Missing Aunt Game Show,no writer,https://www.youtube.com/watch?v=oZTjmRAyyTE,20141029
Alamo,Alamo - Mob PTA,Katherine Maughan,https://www.youtube.com/watch?v=gG_lgjDs4A0,20131204
Alamo,Alamo - MTA,Mary Lordes,https://www.youtube.com/watch?v=BL1oBCiw3jU,20140131
Alamo,Alamo - Not The Father,Jason Shebiro,https://www.youtube.com/watch?v=BlOYXoP5rC0,20131204
Alamo,Alamo - Park Bench,Mary Lordes,https://www.youtube.com/watch?v=-KfvnQWbcw0,20140328
Alamo,Alamo - Professor X Recruiting,by,https://www.youtube.com/watch?v=yPI_AIlSWwQ,20140326
Alamo,Alamo - Professor X Wheelchair,by,https://www.youtube.com/watch?v=LWIaZspX0t4,20140326
Alamo,Alamo - Robin Hood,Siobhan Thompson,https://www.youtube.com/watch?v=NU8oUIOBfps,20140202
Alamo,Alamo - Scooby Done,Marina Tempelsman,https://www.youtube.com/watch?v=xTvCGHbnEdo,20131204
Alamo,Alamo - St.  Bernards,no writer,https://www.youtube.com/watch?v=w2aifErm3I4,20140825
Alamo,Alamo - That Guy Did It,Mary Lordes,https://www.youtube.com/watch?v=Hsc1xIKQt84,20131204
Alamo,Alamo - Turn a Guy On,Katherine Maughan,https://www.youtube.com/watch?v=o_xFIc1-g7g,20140131
Alamo,Alamo - Ugly Panda,Jason Shebiro,https://www.youtube.com/watch?v=zteR5X42s3Y,20140202
Alamo,Alamo - When I Get Out,Mary Lordes,https://www.youtube.com/watch?v=CTGVfeuBEac,20140326
Alamo,Alamo - Wise King Solomon,no writer,https://www.youtube.com/watch?v=fz1z0aAJoBw,20141029
Alamo,Smart Ass Killer,Siobhan Thompson,https://www.youtube.com/watch?v=M5bmX-TNyfk,20140328
Archnemesis,Avon Mafia,no writer,https://www.youtube.com/watch?v=7eeAQGSx5E4,20170703
